ID_item,item,training,crit,ID,est,domain
10,Vietnam,0,74.7,dlan9mr2iku8,77,Countries
10,Vietnam,0,74.7,8xw3ufhwbsme,85,Countries
10,Vietnam,0,74.7,7bagakupy07m,80,Countries
10,Vietnam,0,74.7,jlx0jreulovy,80,Countries
10,Vietnam,0,74.7,kp76hw01z3b2,72,Countries
10,Vietnam,0,74.7,f52y9ezjwc9h,81.3,Countries
10,Vietnam,0,74.7,ev2fnz9nxtx2,67,Countries
10,Vietnam,0,74.7,nfd8u3q7kdlu,77,Countries
10,Vietnam,0,74.7,mq9p1a54t26w,65,Countries
10,Vietnam,0,74.7,svdxe9n1f3ku,80.1,Countries
10,Vietnam,0,74.7,6p84ypzofiiy,74.6,Countries
10,Vietnam,0,74.7,15er40f6hrc7,78,Countries
10,Vietnam,0,74.7,1jyepxdsepby,73,Countries
10,Vietnam,0,74.7,un90iavtgolm,70.3,Countries
10,Vietnam,0,74.7,8xds32cqrhlg,70,Countries
10,Vietnam,0,74.7,830wmzipl92b,72,Countries
10,Vietnam,0,74.7,ap09bdriiaxs,81,Countries
10,Vietnam,0,74.7,f7wkplh1kr5z,80,Countries
10,Vietnam,0,74.7,rj8dmpyn2563,73,Countries
10,Vietnam,0,74.7,1r4upum7lxhi,57,Countries
10,Vietnam,0,74.7,j76opfa4wjzj,72,Countries
10,Vietnam,0,74.7,efuhrzbhjnwg,73,Countries
10,Vietnam,0,74.7,nkfzm8e0mtcu,66,Countries
10,Vietnam,0,74.7,6pjob01zppal,67,Countries
10,Vietnam,0,74.7,19x6o075e4oy,54.4,Countries
10,Vietnam,0,74.7,ovd5s5i79kru,76.4,Countries
10,Vietnam,0,74.7,a1yt5ymbgc4m,79,Countries
